model	nDCGRendle2020	Recall	strategy	cutoff	dataset_name	transactions	space_size	space_size_log	shape	shape_log	density	density_log	gini_item	gini_user	average_degree	average_degree_users	average_degree_items	average_degree_log	average_degree_users_log	average_degree_items_log	average_clustering_coefficient_dot	average_clustering_coefficient_min	average_clustering_coefficient_max	average_clustering_coefficient_dot_log	average_clustering_coefficient_min_log	average_clustering_coefficient_max_log	average_clustering_coefficient_dot_users	average_clustering_coefficient_dot_items	average_clustering_coefficient_min_users	average_clustering_coefficient_min_items	average_clustering_coefficient_max_users	average_clustering_coefficient_max_items	average_clustering_coefficient_dot_users_log	average_clustering_coefficient_dot_items_log	average_clustering_coefficient_min_users_log	average_clustering_coefficient_min_items_log	average_clustering_coefficient_max_users_log	average_clustering_coefficient_max_items_log	degree_assortativity_users	degree_assortativity_items	most_least_favorite	most_rated	highest_variance	most_recent_1	most_recent_2	most_recent_3	most_characteristic
LightGCN	0.0713878235363441	0.0812642678635229	node-dropout	417	amazon-software	1825	0.3616559138186461	-0.4417044289000433	1.94980694980695	0.2899916140374096	0.0139531327650139	-1.85532827340742	0.4518199608610567	0.3286195578461955	4.777486910994765	3.613861386138614	7.046332046332046	0.6791995058807848	0.5579714906738321	0.8479631047112417	0.156173931709502	0.4422819990554381	0.1979744341280337	-0.8063914561151255	-0.3543007361221012	-0.7033908897081763	0.1896542926471369	0.0908936912712559	0.4959592956816825	0.3376216330467397	0.2376428923040062	0.1206285986883973	-0.722037323001443	-1.0414662591450563	-0.3045539654175336	-0.4715697338123059	-0.6240751705521007	-0.9185497172361292	0.2118279712911124	-0.0493657981046226	0.7676999842841428	0.2184272344983416	0.2799834789359423	0.895218271465862	0.9127772890517714	0.4201703912094032	0.4287338160288795
UltraGCN	0.052479456002831	0.0625622312086616	node-dropout	417	amazon-software	1825	0.3616559138186461	-0.4417044289000433	1.94980694980695	0.2899916140374096	0.0139531327650139	-1.85532827340742	0.4518199608610567	0.3286195578461955	4.777486910994765	3.613861386138614	7.046332046332046	0.6791995058807848	0.5579714906738321	0.8479631047112417	0.156173931709502	0.4422819990554381	0.1979744341280337	-0.8063914561151255	-0.3543007361221012	-0.7033908897081763	0.1896542926471369	0.0908936912712559	0.4959592956816825	0.3376216330467397	0.2376428923040062	0.1206285986883973	-0.722037323001443	-1.0414662591450563	-0.3045539654175336	-0.4715697338123059	-0.6240751705521007	-0.9185497172361292	0.2118279712911124	-0.0493657981046226	0.7676999842841428	0.2184272344983416	0.2799834789359423	0.895218271465862	0.9127772890517714	0.4201703912094032	0.4287338160288795
LightGCN	0.1448317686334706	0.1972189294509646	edge-dropout	185	amazon-software	14988	1.799954999437486	0.2552616474698154	2.519400352733686	0.4012971858258552	0.0046261572337876	-2.33477961051787	0.4739636506383237	0.2717418830642626	7.51089952392884	5.246062303115155	13.216931216931217	0.8756919523017183	0.7198334440390173	1.1211306298648729	0.0939289135166268	0.2678883692337065	0.1339775937500172	-1.0272007011539217	-0.5720461415141208	-0.8729678264439622	0.1126449230698838	0.0467757924463843	0.3000463076283715	0.1868696478990004	0.1610512727138871	0.0657681574186447	-0.9482883772417124	-1.3299788462186166	-0.5228117132954524	-0.7284612327058982	-0.7930358388018545	-1.1819843253009168	0.0915696781534607	-0.0410176028328561	0.7749685268901785	0.2318937682604087	0.3035969539419539	0.8943909793720581	0.9168814423554852	0.5139859130892545	0.44047140190468
UltraGCN	0.0754399270980807	0.1133801852119467	edge-dropout	185	amazon-software	14988	1.799954999437486	0.2552616474698154	2.519400352733686	0.4012971858258552	0.0046261572337876	-2.33477961051787	0.4739636506383237	0.2717418830642626	7.51089952392884	5.246062303115155	13.216931216931217	0.8756919523017183	0.7198334440390173	1.1211306298648729	0.0939289135166268	0.2678883692337065	0.1339775937500172	-1.0272007011539217	-0.5720461415141208	-0.8729678264439622	0.1126449230698838	0.0467757924463843	0.3000463076283715	0.1868696478990004	0.1610512727138871	0.0657681574186447	-0.9482883772417124	-1.3299788462186166	-0.5228117132954524	-0.7284612327058982	-0.7930358388018545	-1.1819843253009168	0.0915696781534607	-0.0410176028328561	0.7749685268901785	0.2318937682604087	0.3035969539419539	0.8943909793720581	0.9168814423554852	0.5139859130892545	0.44047140190468
DGCF	0.1456835692100613	0.1988600209786829	edge-dropout	185	amazon-software	14988	1.799954999437486	0.2552616474698154	2.519400352733686	0.4012971858258552	0.0046261572337876	-2.33477961051787	0.4739636506383237	0.2717418830642626	7.51089952392884	5.246062303115155	13.216931216931217	0.8756919523017183	0.7198334440390173	1.1211306298648729	0.0939289135166268	0.2678883692337065	0.1339775937500172	-1.0272007011539217	-0.5720461415141208	-0.8729678264439622	0.1126449230698838	0.0467757924463843	0.3000463076283715	0.1868696478990004	0.1610512727138871	0.0657681574186447	-0.9482883772417124	-1.3299788462186166	-0.5228117132954524	-0.7284612327058982	-0.7930358388018545	-1.1819843253009168	0.0915696781534607	-0.0410176028328561	0.7749685268901785	0.2318937682604087	0.3035969539419539	0.8943909793720581	0.9168814423554852	0.5139859130892545	0.44047140190468
GFCF	0.0902037601405909	0.1337108707936667	edge-dropout	185	amazon-software	14988	1.799954999437486	0.2552616474698154	2.519400352733686	0.4012971858258552	0.0046261572337876	-2.33477961051787	0.4739636506383237	0.2717418830642626	7.51089952392884	5.246062303115155	13.216931216931217	0.8756919523017183	0.7198334440390173	1.1211306298648729	0.0939289135166268	0.2678883692337065	0.1339775937500172	-1.0272007011539217	-0.5720461415141208	-0.8729678264439622	0.1126449230698838	0.0467757924463843	0.3000463076283715	0.1868696478990004	0.1610512727138871	0.0657681574186447	-0.9482883772417124	-1.3299788462186166	-0.5228117132954524	-0.7284612327058982	-0.7930358388018545	-1.1819843253009168	0.0915696781534607	-0.0410176028328561	0.7749685268901785	0.2318937682604087	0.3035969539419539	0.8943909793720581	0.9168814423554852	0.5139859130892545	0.44047140190468
DGCF	0.0734066715539769	0.0901295333106727	node-dropout	718	amazon-software	2546	0.4210344403965072	-0.3756823776503356	2.1824561403508773	0.3389455246823085	0.0143622722400857	-1.8427768453816924	0.4100605008199997	0.3183860693149584	5.6141124586549065	4.093247588424437	8.933333333333334	0.7492811079215226	0.6120680146268178	0.9510135393091264	0.1348900409941472	0.3874590159040679	0.1765337949967391	-0.8700201133447522	-0.4117742289203638	-0.753172142538732	0.1626760023135134	0.0742483990971452	0.4446941211862463	0.2625459089373499	0.21070450915628	0.1019577100590735	-0.7886765087195902	-1.1293129059268612	-0.3519386118446327	-0.5807947446204081	-0.6763261702260901	-0.9915799272227424	0.0540622445139197	-0.0311122277396457	0.7683678679594369	0.2828773667505462	0.3042661497500039	0.8968431478129247	0.9180401327528744	0.4629519673243665	0.4998250511640504
GFCF	0.0619457086772797	0.0807219112162717	node-dropout	718	amazon-software	2546	0.4210344403965072	-0.3756823776503356	2.1824561403508773	0.3389455246823085	0.0143622722400857	-1.8427768453816924	0.4100605008199997	0.3183860693149584	5.6141124586549065	4.093247588424437	8.933333333333334	0.7492811079215226	0.6120680146268178	0.9510135393091264	0.1348900409941472	0.3874590159040679	0.1765337949967391	-0.8700201133447522	-0.4117742289203638	-0.753172142538732	0.1626760023135134	0.0742483990971452	0.4446941211862463	0.2625459089373499	0.21070450915628	0.1019577100590735	-0.7886765087195902	-1.1293129059268612	-0.3519386118446327	-0.5807947446204081	-0.6763261702260901	-0.9915799272227424	0.0540622445139197	-0.0311122277396457	0.7683678679594369	0.2828773667505462	0.3042661497500039	0.8968431478129247	0.9180401327528744	0.4629519673243665	0.4998250511640504
UltraGCN	0.0365022173606869	0.0476534322675677	node-dropout	718	amazon-software	2546	0.4210344403965072	-0.3756823776503356	2.1824561403508773	0.3389455246823085	0.0143622722400857	-1.8427768453816924	0.4100605008199997	0.3183860693149584	5.6141124586549065	4.093247588424437	8.933333333333334	0.7492811079215226	0.6120680146268178	0.9510135393091264	0.1348900409941472	0.3874590159040679	0.1765337949967391	-0.8700201133447522	-0.4117742289203638	-0.753172142538732	0.1626760023135134	0.0742483990971452	0.4446941211862463	0.2625459089373499	0.21070450915628	0.1019577100590735	-0.7886765087195902	-1.1293129059268612	-0.3519386118446327	-0.5807947446204081	-0.6763261702260901	-0.9915799272227424	0.0540622445139197	-0.0311122277396457	0.7683678679594369	0.2828773667505462	0.3042661497500039	0.8968431478129247	0.9180401327528744	0.4629519673243665	0.4998250511640504
LightGCN	0.0723539641043543	0.0870812195308477	node-dropout	718	amazon-software	2546	0.4210344403965072	-0.3756823776503356	2.1824561403508773	0.3389455246823085	0.0143622722400857	-1.8427768453816924	0.4100605008199997	0.3183860693149584	5.6141124586549065	4.093247588424437	8.933333333333334	0.7492811079215226	0.6120680146268178	0.9510135393091264	0.1348900409941472	0.3874590159040679	0.1765337949967391	-0.8700201133447522	-0.4117742289203638	-0.753172142538732	0.1626760023135134	0.0742483990971452	0.4446941211862463	0.2625459089373499	0.21070450915628	0.1019577100590735	-0.7886765087195902	-1.1293129059268612	-0.3519386118446327	-0.5807947446204081	-0.6763261702260901	-0.9915799272227424	0.0540622445139197	-0.0311122277396457	0.7683678679594369	0.2828773667505462	0.3042661497500039	0.8968431478129247	0.9180401327528744	0.4629519673243665	0.4998250511640504
